id,title,slug,category,description,thumbnail,embedSrc,controls,featured
1,Funny Walk Fail Runr,funny-walk-fail-runr,action,"Challenge yourself in this hilarious walking simulator! Take control of a wobbly villain who constantly stumbles into comedic mishaps. Every step brings unpredictable tumbles and amusing collisions in this action-packed arcade game. Navigate through increasingly unstable paths as you help your clumsy character complete various challenges. With simple controls but challenging gameplay, Funny Walk Fail Runr delivers non-stop laughter and entertainment for players of all ages!",assets/images/games/fwfr.jpg,https://html5.gamedistribution.com/3232d8d696ec4bc1989cd0b4a0ec1482/?gd_sdk_referrer_url=https://gamedistribution.com/games/funny-walk-fail-run/,"Desktop: Control movement with mouse clicks. Mobile: Simply tap the screen to play. Easy to learn, endlessly entertaining!",TRUE
2,Vex X3Mr,vex-x3mr,action,"Extreme biking challenge awaits! Vex X3M masterfully combines classic Vex elements with thrilling mountain bike racing action. Navigate through 30 danger-filled unique levels, avoiding deadly obstacles including spikes, shooting knives, rockets, and lasers. Perform daring stunts, reach the finish line safely, and collect stars to unlock exclusive bike skins. Prove your mastery by conquering both easy and hard modes to become the ultimate Vex X3M rider champion. Rev up your engines and experience the perfect blend of speed, skill and adrenaline!",assets/images/games/vx.jpg,https://html5.gamedistribution.com/0a3c55fe33ba415f9b761b5831e75b27/?gd_sdk_referrer_url=https://gamedistribution.com/games/vex-x3m/,"Keyboard controls: Press Up/W to accelerate, Left/A and Right/D to tilt your bike, Down/S to brake. Stay alert to your surroundings and watch for traffic signs to strategically complete each challenge!",FALSE
3,Noob in Geometry Dash,noob-in-geometry-dash,music,"Jump to the beat in this rhythm-driven musical adventure! Guide Nubik through a world of beat-synced challenges that test your timing and reflexes. Perfect your jumps to the music, collect hidden keys to unlock awesome character skins, and master increasingly difficult levels that blend music and skill in perfect harmony. Each stage challenges your reaction time and rhythm sense in new ways. Complete all courses and compete for top rankings on the global leaderboard. Are you ready to embark on this musical journey?",assets/images/games/nigd.jpg,https://html5.gamedistribution.com/4d0faf326d03466baf7c0987d612c1a4/?gd_sdk_referrer_url=https://gamedistribution.com/games/noob-in-geometry-dash/,Controls are beautifully simple: press the screen to make your character fly in one direction; release to change flight direction immediately. Master this elegant control mechanism to sync perfectly with the music!,TRUE
4,Nuclear Day Survival,nuclear-day-survival,action,"Face the ultimate survival challenge in a post-nuclear world! This immersive survival game plunges you into a devastating post-apocalyptic reality where radiation, hunger, disease, and suffering are constant threats. Your mission: escape the dying city and find your long-lost love. Explore a uniquely atmospheric wasteland, uncover the mystery behind missing documents, and confront moral dilemmas¡ªwill you save those around you or leave them to their fate? Features include a meticulously designed crafting system, an emotionally engaging storyline, and a richly detailed world waiting to be explored.",assets/images/games/nds.jpg,https://html5.gamedistribution.com/4601402ed7e84b14af02f7d6beff4cda/?gd_sdk_referrer_url=https://gamedistribution.com/games/nuclear-day-survival/,"Desktop controls: WASD for movement, Left mouse button for interaction, E for inventory, J for tasks, M for store access. Mobile: Use touch screen to swipe for movement and tap to interact. Make wise choices in this wasteland to determine your survival!",TRUE
5,Power Light,power-light,puzzle,"Illuminate your mind with this electrifying puzzle challenge! In this cleverly designed brain teaser, you'll manipulate and rotate various tiles to create complete electrical circuits, allowing power to flow freely to light bulbs. Each level presents a unique layout with increasing difficulty as you progress. Exercise your logical thinking and spatial reasoning to find optimal solutions and light up every bulb. Simple to learn but progressively challenging, each completed level delivers a satisfying sense of accomplishment!",assets/images/games/pl.jpg,https://html5.gamedistribution.com/c95ab28500734643b709f0a53a9fcecf/?gd_sdk_referrer_url=https://gamedistribution.com/games/power-light-1/,"Intuitive controls: Click or tap tiles to rotate them, adjusting circuit directions. Strategically complete connections to power up the light bulbs and unlock the next exciting challenge!",TRUE
6,Sprunki Beats,sprunki-beats,music,"Master the rhythm in this ultimate musical challenge! Sprunki Beats takes you on a pulsating journey through four exhilarating levels featuring both horror and standard game modes. Explore distinctive environments while mastering precise beats and uncovering hidden secrets. Fans of rhythm games will appreciate the thrilling challenges, including nods to Mustard mods and connections to the iconic Phase 5. Sprunki delivers the perfect blend of mystery and excitement in this rhythm game masterpiece. Dive into this musical adventure and prove your skills as a rhythm master!",assets/images/games/sp.jpg,https://html5.gamedistribution.com/291267b4a60e40f9951be1d193dab421/?gd_sdk_referrer_url=https://gamedistribution.com/games/sprunki-beats/,"Desktop players: Use mouse and left-click to follow the rhythm. Mobile players: Tap the screen in time with the musical beats. Simple controls, immersive musical experience!",FALSE
7,Draw War,draw-war,action,"Unleash your creativity in Draw War. This is a wonderful strategy game. Here drawing meets battles. Build a hero lineup, draw your legions, then unleash the power of your army. The numbers show the soldiers summoned. Click to send Shielded Soldiers, Soldiers on Horseback, or Super Beasts.",assets/images/games/dw.png,https://html5.gamedistribution.com/5fb9b774831843009ff37110468373d9/?gd_sdk_referrer_url=https://gamedistribution.com/games/draw-war/,Mouse click or tap to play,TRUE
8,Army Commander Craft,army-commander-craft,action,"Welcome to Army Commander Craft, a game full of strategy and shooting elements. As a commander, building and upgrading your army. Lead them into nervous battles against enemy forces.Command your army to begin nervous shooting battles. Defeat the enemy units with precision and strategy.",assets/images/games/acc.jpg,https://html5.gamedistribution.com/1475a4195a314c9dae80f2136622a89d/?gd_sdk_referrer_url=https://gamedistribution.com/games/army-commander-craft/,Mouse click or tap to play,TRUE
9,War State IO - Conquer Battles,war-state-io-conquer-battles,action,"Welcome to ultimate strategy game that lets you improve your tactical skills and lead your troops to triumph! Lead your army, conquer enemy camps, and expand your territory in fast-paced battles filled with action and strategy. Every decision matters ¡ª whether you¡¯re attacking enemy strongholds or defending your bases, clever maneuvers are key to achieving victory.",assets/images/games/wsicb.jpg,https://html5.gamedistribution.com/e1e486c81b0c4d738d4c1a05204f99c2/?gd_sdk_referrer_url=https://gamedistribution.com/games/war-state-io-conquer-battles/,Drag your troops with your mouse/finger to the building you want to occupy. Occupy all enemy buildings to win.,FALSE
10,"
Dynamons Connect",dynamons-connect,puzzle,"Dive into the exciting world of Dynamons Connect! This fun and engaging game with adorable, colorful characters helps improve focus and visual perception. Match identical tiles by connecting them with a path that has no more than two turns to clear the board. With endless levels, the challenge never stops!",assets/images/games/dyc.jpg,https://html5.gamedistribution.com/c0b15af1bba044849416d45a56b481f4/?gd_sdk_referrer_url=https://gamedistribution.com/games/dynamons-connect/,? Find two matching tiles and connect them with a path that has no more than two 90-degree angles. ? Clear the board before time runs out! ? Choose between two difficulty modes for the best experience. ? Keep playing as long as you want¡ªunlimited levels mean unlimited fun!,TRUE
11,Daily Sudoku,daily-sudoku,puzzle,"Daily Sudoku provides a thought-provoking journey that will keep you engrossed until every puzzle box is filled. If you enjoy challenging your intellect and sharpening your problem-solving skills, then you've come to the perfect spot.",assets/images/games/das.jpg,https://html5.gamedistribution.com/dd9701cd84da40699cdc404645f29c1f/?gd_sdk_referrer_url=https://gamedistribution.com/games/daily-sudoku-2/,"The game's aim is to solve every row, column, and square without repeating numbers one through nine. Ultimately, the objective is to make sure that each row, column, and square contains the numbers one through nine without any duplicates, delivering an exceptional puzzle experience that demands concentration and perseverance.",TRUE
12,WorldCraft 2,worldCraft-2,puzzle,"If you are a craft master. World Craft winter exploration ready for you. Show your skills craft your cubes and build cities, garden, your own house call your friends. Play with your friends new adventures. Features - Crafting cube - Graphics Improved - New worlds",assets/images/games/wo2.jpg,https://html5.gamedistribution.com/5ab6c0365d0e44ff834bb2084fddf0b5/?gd_sdk_referrer_url=https://gamedistribution.com/games/worldcraft-2/,Movement: W A S D Destruction : Left Click Build : Right Click Exit : Escape,TRUE
13,Sprunki Retake (New Human Version) with Bonus,sprunki-retake(new-human-version)with-bonus,music,"Sprunki Retake New Human With New Bonus is a fan-created update to the Sprunki Retake mod, reworking the characters as humans while keeping the original game¡¯s style. Designed as a musical creativity game, it lets players experiment with sound loops and animations using human-like versions of the classic Sprunki cast. Each character has distinct outfits, voices, and movements, adding personality without changing the core gameplay. There are a lot cool bonus characters like Huggy Wuggy, Sonic.EXE, Baldi, and more to unlock. There is total of 10 bonus characters, go and discover them all.",assets/images/games/srnhv.jpg,https://kdata1.com/2025/02/sprunki-retake-new-human-version-with-bonus/?key=y8&value=default,Drag and drop music object,FALSE
14,Sprunki Parodybox,sprunki-parodybox,music,"Sprunki Parodybox is an innovative music creation game inspired by the famous Sprunki that allows players to immerse themselves in a magical world where they can experiment with new rhythms, effects and voices to create custom melodies. In addition, the game includes a horror mode that will add an extra layer of excitement to the experience, challenging players not only to create music, but also to keep their cool in the midst of spooky situations. Explore a series of all-new visuals and combine them with creative gameplay as you prepare to show off your ability to mix unique beats and effects. Enjoy playing this music game here at joyrealm.org!",assets/images/games/sppa.jpg,https://ext.minijuegosgratis.com/sprunki-parodybox-2/index.html?key=y8&amp;value=default,Drag and drop music object,TRUE
15,Blob Opera,blob-opera,music,"Blob Opera Create your own opera-inspired song with Blob Opera. Let the blobs sing the songs and make beautiful music. Here we have elastic blobs they are really cute, they really love to sing each blob can sing at some particular pitch. Help the blobs to sing and let us have fun. Play this fun game only on joyrealm.org",assets/images/games/blobo.jpg,https://gacembed.withgoogle.com/blob-opera?key=y8&amp;value=default#/,"
Hold and Drag",TRUE
